Type,Date,Invoice No,Customer,Customer Email,Due Date,Amount,Tax,Total,Status,Currency
Invoice,2025-11-06,INV-2024-0001,ABC Technologies,accounts@abctech.com,2025-12-06,6341.828741336275,634.1828741336275,6976.011615469903,Unpaid,AUD
Invoice,2025-11-14,INV-2024-0002,ABC Technologies,accounts@abctech.com,2025-12-14,5281.668991663109,528.1668991663109,5809.83589082942,Unpaid,AUD
Invoice,2025-12-05,INV-2024-0003,Global Traders Inc,finance@globaltraders.com,2026-01-04,2822.6546093237057,282.26546093237056,3104.920070256076,Paid,AUD
Invoice,2025-11-09,INV-2024-0004,ABC Technologies,accounts@abctech.com,2025-12-09,9657.224808101148,965.7224808101148,10622.947288911262,Paid,AUD
Invoice,2026-01-03,INV-2024-0005,ABC Technologies,accounts@abctech.com,2026-02-02,9619.698401066607,961.9698401066607,10581.668241173267,Paid,AUD
Invoice,2026-01-16,INV-2024-0006,ABC Technologies,accounts@abctech.com,2026-02-15,4937.149731351004,493.7149731351004,5430.8647044861045,Unpaid,AUD
Invoice,2025-10-29,INV-2024-0007,XYZ Solutions,billing@xyzsolutions.com,2025-11-28,9478.631774099202,947.8631774099202,10426.494951509123,Unpaid,AUD
Invoice,2026-01-10,INV-2024-0008,Global Traders Inc,finance@globaltraders.com,2026-02-09,6439.654812722786,643.9654812722786,7083.6202939950645,Paid,AUD
Invoice,2025-11-16,INV-2024-0009,XYZ Solutions,billing@xyzsolutions.com,2025-12-16,7252.031348907749,725.2031348907749,7977.234483798524,Partial,AUD
Invoice,2025-11-05,INV-2024-0010,XYZ Solutions,billing@xyzsolutions.com,2025-12-05,2115.1751723378306,211.51751723378305,2326.6926895716138,Unpaid,AUD
