ContactName,EmailAddress,InvoiceNumber,InvoiceDate,DueDate,Total,TaxAmount,Status,Currency
Global Traders Inc,finance@globaltraders.com,INV-2024-0001,2025-11-18,2025-12-18,10107.183405497337,918.8348550452125,DRAFT,AUD
ABC Technologies,accounts@abctech.com,INV-2024-0002,2025-11-19,2025-12-19,10180.253613472114,925.4776012247376,DRAFT,AUD
Global Traders Inc,finance@globaltraders.com,INV-2024-0003,2025-11-06,2025-12-06,9176.970436496702,834.2700396815184,AUTHORISED,AUD
XYZ Solutions,billing@xyzsolutions.com,INV-2024-0004,2025-12-04,2026-01-03,4395.910963911583,399.6282694465076,DRAFT,AUD
XYZ Solutions,billing@xyzsolutions.com,INV-2024-0005,2025-11-22,2025-12-22,7784.979584159708,707.7254167417916,DRAFT,AUD
XYZ Solutions,billing@xyzsolutions.com,INV-2024-0006,2025-10-23,2025-11-22,8878.43124469733,807.1301131543029,DRAFT,AUD
ABC Technologies,accounts@abctech.com,INV-2024-0007,2025-12-01,2025-12-31,10229.232262036014,929.9302056396376,DRAFT,AUD
XYZ Solutions,billing@xyzsolutions.com,INV-2024-0008,2025-12-10,2026-01-09,6739.060515893654,612.6418650812413,DRAFT,AUD
XYZ Solutions,billing@xyzsolutions.com,INV-2024-0009,2025-12-25,2026-01-24,4668.28191827463,424.3892652976936,AUTHORISED,AUD
Global Traders Inc,finance@globaltraders.com,INV-2024-0010,2025-10-28,2025-11-27,1684.002253786548,153.09111398059525,DRAFT,AUD
