Type,Date,Bill No,Vendor,Vendor Email,Due Date,Amount,Tax,Total,Status,Currency,Payment No,Payment Type,Reference,Payer,Payee,Method
Bill,,,,,,,,,,AUD,,,,,,
Bill,,,,,,,,,,AUD,,,,,,
Bill,,,,,,,,,,AUD,,,,,,
Bill,,,,,,,,,,AUD,,,,,,
Bill,,,,,,,,,,AUD,,,,,,
Bill,,,,,,,,,,AUD,,,,,,
Bill,,,,,,,,,,AUD,,,,,,
Bill,,,,,,,,,,AUD,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
Payment,,,,,,,,,,,,,,,,
