Type,Date,Invoice No,Customer,Customer Email,Due Date,Amount,Tax,Total,Status,Currency
Invoice,2025-12-30,INV-2024-0001,Global Traders Inc,finance@globaltraders.com,2026-01-29,7147.257086309948,714.7257086309947,7861.982794940943,Paid,AUD
Invoice,2026-01-11,INV-2024-0002,XYZ Solutions,billing@xyzsolutions.com,2026-02-10,4473.129208151056,447.3129208151056,4920.442128966161,Partial,AUD
Invoice,2025-10-30,INV-2024-0003,Global Traders Inc,finance@globaltraders.com,2025-11-29,9051.0589393071,905.10589393071,9956.16483323781,Paid,AUD
Invoice,2025-10-23,INV-2024-0004,Global Traders Inc,finance@globaltraders.com,2025-11-22,2796.1285804296012,279.6128580429601,3075.741438472561,Paid,AUD
Invoice,2025-11-17,INV-2024-0005,Global Traders Inc,finance@globaltraders.com,2025-12-17,2549.7258825641666,254.97258825641666,2804.698470820583,Paid,AUD
Invoice,2026-01-03,INV-2024-0006,XYZ Solutions,billing@xyzsolutions.com,2026-02-02,7703.407386244518,770.3407386244518,8473.74812486897,Paid,AUD
Invoice,2026-01-03,INV-2024-0007,ABC Technologies,accounts@abctech.com,2026-02-02,8031.938098779895,803.1938098779895,8835.131908657884,Paid,AUD
Invoice,2025-12-13,INV-2024-0008,XYZ Solutions,billing@xyzsolutions.com,2026-01-12,9977.31618557262,997.731618557262,10975.047804129881,Paid,AUD
Invoice,2025-12-26,INV-2024-0009,ABC Technologies,accounts@abctech.com,2026-01-25,2838.6866041183566,283.86866041183566,3122.5552645301923,Paid,AUD
Invoice,2025-12-04,INV-2024-0010,XYZ Solutions,billing@xyzsolutions.com,2026-01-03,1227.5035263567522,122.75035263567521,1350.2538789924274,Paid,AUD
