ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,InvoiceNumber,Invoice Date,Due Date,Total,InventoryItemCode,Description,Quantity,UnitAmount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Status,LineAmountType
C&I Commercial & Industrial Insulation,,,,,,,,,,00001450,25/02/2026,20/03/2026,-8170.81,,.,1,-8170.81,-8170.81,211,BAS Excluded,-0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001103,11/08/2025,20/09/2025,-2067.24,,.,1,-2067.24,-2067.24,211,BAS Excluded,-0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00000617,25/11/2024,20/12/2024,-1505.02,,.,1,-1505.02,-1505.02,211,BAS Excluded,-0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000375,27/05/2024,20/06/2024,-984.46,,.,1,-984.46,-984.46,211,BAS Excluded,-0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001105,06/08/2025,20/09/2025,-681.49,,.,1,-681.49,-681.49,211,BAS Excluded,-0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000126,25/09/2023,20/10/2023,-452.27,,.,1,-452.27,-452.27,463,BAS Excluded,-0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001464,23/02/2026,20/03/2026,-416.53,,.,1,-416.53,-416.53,211,BAS Excluded,-0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000344,16/04/2024,20/05/2024,-293.55,,.,1,-293.55,-293.55,211,BAS Excluded,-0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001102,11/08/2025,20/09/2025,-279.27,,.,1,-279.27,-279.27,211,BAS Excluded,-0.0,,,,,,Draft,
Inex Metals Ltd,,,,,,,,,,00000130,19/09/2023,20/10/2023,-246.68,,.,1,-246.68,-246.68,211,BAS Excluded,-0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001104,06/08/2025,20/09/2025,-231.72,,.,1,-231.72,-231.72,211,BAS Excluded,-0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00001437,24/02/2026,20/03/2026,-210.74,,.,1,-210.74,-210.74,459,BAS Excluded,-0.0,,,,,,Draft,
Enterprise Recruitment,,,,,,,,,,00001150,31/08/2025,20/09/2025,-161.0,,.,1,-161.0,-161.0,246,BAS Excluded,-0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001410,04/01/2026,20/02/2026,-28.62,,.,1,-28.62,-28.62,210,BAS Excluded,-0.0,,,,,,Draft,
Vulcan Stainless,,,,,,,,,,00001146,08/08/2025,20/09/2025,-27.03,,.,1,-27.03,-27.03,211,BAS Excluded,-0.0,,,,,,Draft,
Vulcan Stainless,,,,,,,,,,00001062,23/07/2025,20/08/2025,-26.45,,.,1,-26.45,-26.45,211,BAS Excluded,-0.0,,,,,,Draft,
Vulcan Stainless,,,,,,,,,,00001147,01/08/2025,20/09/2025,-26.45,,.,1,-26.45,-26.45,211,BAS Excluded,-0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000320,27/03/2024,20/04/2024,-23.58,,.,1,-23.58,-23.58,210,BAS Excluded,-0.0,,,,,,Draft,
Vulcan Stainless,,,,,,,,,,00001510,18/02/2026,20/03/2026,-23.0,,.,1,-23.0,-23.0,211,BAS Excluded,-0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001101,05/08/2025,20/09/2025,-22.42,,.,1,-22.42,-22.42,211,BAS Excluded,-0.0,,,,,,Draft,
CI Safety & Apparel,,,,,,,,,,00001440,19/02/2026,20/03/2026,-22.17,,.,1,-22.17,-22.17,459,BAS Excluded,-0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00000455,24/07/2024,20/08/2024,-14.04,,.,1,-14.04,-14.04,210,BAS Excluded,-0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001281,30/11/2025,20/12/2025,-11.56,,.,1,-11.56,-11.56,211,BAS Excluded,-0.0,,,,,,Draft,
Onestaff,,,,,,,,,,00001218,24/09/2025,20/10/2025,-11.5,,.,1,-11.5,-11.5,246,BAS Excluded,-0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001197,31/08/2025,20/09/2025,-11.21,,.,1,-11.21,-11.21,211,BAS Excluded,-0.0,,,,,,Draft,
Comfortech,,,,,,,,,,00000782,28/02/2025,20/03/2025,-86.25,,.,1,-86.25,-86.25,211,BAS Excluded,-0.0,,,,,,Draft,
Comfortech,,,,,,,,,,00000830,25/03/2025,20/04/2025,-86.25,,.,1,-86.25,-86.25,211,BAS Excluded,-0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001416,13/01/2026,20/02/2026,-80.79,,.,1,-80.79,-80.79,210,BAS Excluded,-0.0,,,,,,Draft,
Elgas NZ Ltd,,,,,,,,,,00000026,31/05/2023,30/06/2023,0.0,,Forklift,1,0.0,0.0,325,BAS Excluded,0.0,,,,,,Draft,
Safety n Action,,,,,,,,,,00000205,13/11/2023,30/12/2023,0.0,,sucess paid this,1,0.0,0.0,458,BAS Excluded,0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00001447,03/02/2026,20/03/2026,5.75,,.,1,5.75,5.75,210,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00001475,20/02/2026,20/03/2026,7.13,,.,1,7.13,7.13,459,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001494,01/02/2026,20/03/2026,33.14,,.,1,33.14,33.14,210,BAS Excluded,0.0,,,,,,Draft,
CI Safety & Apparel,,,,,,,,,,00001486,17/02/2026,20/03/2026,36.17,,.,1,36.17,36.17,459,BAS Excluded,0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00001471,02/02/2026,20/03/2026,37.48,,.,1,37.48,37.48,211,BAS Excluded,0.0,,,,,,Draft,
Te Rapa Tyre Centre,,,,,,,,,,00001481,04/02/2026,20/03/2026,45.0,,.,1,45.0,45.0,410,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001495,12/02/2026,20/03/2026,47.36,,.,1,47.36,47.36,210,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00001474,19/02/2026,20/03/2026,49.91,,.,1,49.91,49.91,459,BAS Excluded,0.0,,,,,,Draft,
CI Safety & Apparel,,,,,,,,,,00001506,10/02/2026,10/02/2026,58.34,,.,1,58.34,58.34,459,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001484,25/02/2026,20/03/2026,64.29,,.,1,64.29,64.29,463,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001482,24/02/2026,20/03/2026,77.63,,.,1,77.63,77.63,210,BAS Excluded,0.0,,,,,,Draft,
CT Business Solutions,,,,,,,,,,00001505,28/02/2026,20/03/2026,101.53,,.,1,101.53,101.53,313,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00001476,26/02/2026,20/03/2026,111.09,,.,1,111.09,111.09,459,BAS Excluded,0.0,,,,,,Draft,
Audio Active (2006) Limited,,,,,,,,,,00001443,11/02/2026,11/02/2026,120.0,,.,1,120.0,120.0,410,BAS Excluded,0.0,,,,,,Draft,
Te Rapa Tyre Centre,,,,,,,,,,00001501,10/02/2026,20/03/2026,130.0,,.,1,130.0,130.0,410,BAS Excluded,0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00001445,03/02/2026,20/03/2026,149.91,,.,1,149.91,149.91,210,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00001473,05/02/2026,20/03/2026,171.52,,.,1,171.52,171.52,459,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001500,17/02/2026,20/03/2026,175.35,,.,1,175.35,175.35,335,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001452,09/02/2026,20/03/2026,219.65,,.,1,219.65,219.65,211,BAS Excluded,0.0,,,,,,Draft,
Webgenius,,,,,,,,,,00001457,28/02/2026,20/03/2026,228.85,,.,1,228.85,228.85,313,BAS Excluded,0.0,,,,,,Draft,
Webgenius,,,,,,,,,,00001478,28/02/2026,20/03/2026,228.85,,.,1,228.85,228.85,313,BAS Excluded,0.0,,,,,,Draft,
Enterprise Recruitment,,,,,,,,,,00001428,29/12/2025,20/01/2026,230.0,,.,1,230.0,230.0,246,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001496,02/02/2026,20/03/2026,257.9,,.,1,257.9,257.9,463,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001497,10/02/2026,20/03/2026,259.24,,.,1,259.24,259.24,463,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001439,02/02/2026,20/03/2026,272.58,,.,1,272.58,272.58,211,BAS Excluded,0.0,,,,,,Draft,
Inex Metals Ltd,,,,,,,,,,00001468,20/02/2026,20/03/2026,274.87,,.,1,274.87,274.87,211,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001499,14/02/2026,20/03/2026,287.34,,.,1,287.34,287.34,463,BAS Excluded,0.0,,,,,,Draft,
CI Safety & Apparel,,,,,,,,,,00001485,05/02/2026,20/03/2026,304.04,,.,1,304.04,304.04,459,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001436,04/02/2026,20/03/2026,306.54,,.,1,306.54,306.54,211,BAS Excluded,0.0,,,,,,Draft,
CT Business Solutions,,,,,,,,,,00001487,28/02/2026,20/03/2026,347.06,,.,1,347.06,347.06,313,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001498,10/02/2026,20/03/2026,401.63,,.,1,401.63,401.63,450,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001483,10/02/2026,20/03/2026,435.85,,.,1,435.85,435.85,463,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001465,26/02/2026,20/03/2026,555.53,,.,1,555.53,555.53,211,BAS Excluded,0.0,,,,,,Draft,
Corys Electrical Ltd,,,,,,,,,,00001446,17/02/2026,20/03/2026,558.77,,.,1,558.77,558.77,210,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00001492,09/02/2026,20/03/2026,629.64,,.,1,629.64,629.64,210,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001449,27/02/2026,20/03/2026,645.4,,.,1,645.4,645.4,211,BAS Excluded,0.0,,,,,,Draft,
Inex Metals Ltd,,,,,,,,,,00001469,20/02/2026,20/03/2026,764.06,,.,1,764.06,764.06,211,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001442,13/02/2026,20/03/2026,833.06,,.,1,833.06,833.06,211,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001451,04/02/2026,20/03/2026,982.89,,.,1,982.89,982.89,211,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00001493,25/02/2026,20/03/2026,1064.88,,.,1,1064.88,1064.88,210,BAS Excluded,0.0,,,,,,Draft,
Audio Active (2006) Limited,,,,,,,,,,00001480,26/02/2026,20/03/2026,1300.0,,.,1,1300.0,1300.0,410,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001453,09/02/2026,20/03/2026,1361.72,,.,1,1361.72,1361.72,211,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001456,19/02/2026,20/03/2026,1777.05,,.,1,1777.05,1777.05,211,BAS Excluded,0.0,,,,,,Draft,
Onestaff,,,,,,,,,,00001460,11/02/2026,20/03/2026,2275.57,,.,1,2275.57,2275.57,246,BAS Excluded,0.0,,,,,,Draft,
Enterprise Recruitment,,,,,,,,,,00001430,30/11/2025,20/12/2025,2366.7,,.,1,2366.7,2366.7,246,BAS Excluded,0.0,,,,,,Draft,
Onestaff,,,,,,,,,,00001459,01/02/2026,20/03/2026,2809.02,,.,1,2809.02,2809.02,246,BAS Excluded,0.0,,,,,,Draft,
Onestaff,,,,,,,,,,00001507,25/02/2026,20/03/2026,2897.57,,.,1,2897.57,2897.57,246,BAS Excluded,0.0,,,,,,Draft,
Onestaff,,,,,,,,,,00001461,18/02/2026,20/03/2026,3118.95,,.,1,3118.95,3118.95,246,BAS Excluded,0.0,,,,,,Draft,
Inex Metals Ltd,,,,,,,,,,00001467,09/02/2026,20/03/2026,3313.15,,.,1,3313.15,3313.15,211,BAS Excluded,0.0,,,,,,Draft,
Inex Metals Ltd,,,,,,,,,,00001444,16/02/2026,20/03/2026,3725.46,,.,1,3725.46,3725.46,211,BAS Excluded,0.0,,,,,,Draft,
Enterprise Recruitment,,,,,,,,,,00001462,31/01/2026,20/02/2026,4166.46,,.,1,4166.46,4166.46,246,BAS Excluded,0.0,,,,,,Draft,
Enterprise Recruitment,,,,,,,,,,00001429,24/12/2025,20/01/2026,4510.3,,.,1,4510.3,4510.3,246,BAS Excluded,0.0,,,,,,Draft,
Vulcan Stainless,,,,,,,,,,00001508,13/02/2026,30/03/2026,4720.75,,.,1,4720.75,4720.75,211,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001455,11/02/2026,20/03/2026,7246.24,,.,1,7246.24,7246.24,211,BAS Excluded,0.0,,,,,,Draft,
Accumen Shapes Limited,,,,,,,,,,00001488,13/02/2026,20/03/2026,8362.8,,.,1,8362.8,8362.8,211,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000309,15/03/2024,20/04/2024,1.25,,.,1,1.25,1.25,211,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000905,30/04/2025,20/05/2025,2.75,,.,1,2.75,2.75,210,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000600,03/10/2024,20/11/2024,2.76,,.,1,2.76,2.76,450,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00001119,22/08/2025,20/09/2025,4.47,,.,1,4.47,4.47,211,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000601,08/10/2024,20/11/2024,5.15,,.,1,5.15,5.15,450,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000438,17/07/2024,20/08/2024,5.75,,.,1,5.75,5.75,211,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00001212,24/09/2025,20/10/2025,6.06,,.,1,6.06,6.06,211,BAS Excluded,0.0,,,,,,Draft,
Ideal Electrical,,,,,,,,,,00000192,07/11/2023,20/12/2023,6.38,,.,1,6.38,6.38,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00000851,07/04/2025,20/05/2025,6.48,,.,1,6.48,6.48,431,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000599,03/10/2024,20/11/2024,7.83,,.,1,7.83,7.83,211,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000194,13/11/2023,30/12/2023,8.3,,.,1,8.3,8.3,211,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000135,20/09/2023,30/10/2023,8.66,,.,1,8.66,8.66,210,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000113,22/08/2023,20/09/2023,8.99,,.,1,8.99,8.99,211,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00000031,31/05/2023,30/06/2023,9.89,,.,1,9.89,9.89,431,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000134,19/09/2023,20/10/2023,10.23,,.,1,10.23,10.23,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000060,27/07/2023,20/08/2023,10.3,,.,1,10.3,10.3,463,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000414,24/06/2024,20/07/2024,11.5,,.,1,11.5,11.5,463,BAS Excluded,0.0,,,,,,Draft,
Comfortech,,,,,,,,,,00000271,09/02/2024,20/03/2024,11.68,,.,1,11.68,11.68,211,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00001077,22/07/2025,20/08/2025,13.46,,.,1,13.46,13.46,211,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000514,06/09/2024,20/10/2024,14.28,,.,1,14.28,14.28,431,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001211,05/09/2025,20/10/2025,14.89,,.,1,14.89,14.89,210,BAS Excluded,0.0,,,,,,Draft,
