ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,InvoiceNumber,Reference,InvoiceDate,DueDate,Total,InventoryItemCode,Description,Quantity,UnitAmount,LineAmount,Discount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme,LineAmountType,Status
Continuous Stainless Ltd,,,,,,,,,,00000004,,22/05/2023,30/06/2023,3953.59,,Insulate and Clad chemical lines at Fonterra Morrinsville,1,3437.9,3437.9,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Continuous Stainless Ltd,,,,,,,,,,1004,,26/05/2023,30/06/2023,1080.43,,Fonterra Waitoa 76.2 Chilled Water Valve and Strainer Insulation and Cladding,1,939.5,939.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1002,,19/05/2023,30/06/2023,26338.27,,Lawter (NZ) Ltd site Mt Maunganui Shut Piping Insulation and Cladding,1,22902.84,22902.84,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1001,,19/05/2023,30/06/2023,11836.32,,Lawter (NZ) Mount Maunganui site pre-shut and shut piping insulation and cladding,1,5962.45,5962.45,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1001,,19/05/2023,30/06/2023,11836.32,,Accommodation and Travel,1,4330.0,4330.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1003,,25/05/2023,30/06/2023,18886.45,,Lawter (NZ) site - T28 Diphyl Storage Tank Insulation and Cladding,1,16423.0,16423.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
PFS Engineering Ltd,,,,,,,,,,1005,,31/05/2023,30/06/2023,8188.0,,"WDHB Task Mode Washers Steam & Condensate Insulation and Cladding.  
Insulation: 50mm 80kg/m3 Fibreglass pre-formed pipe section
Cladding: 0.9mm 5005 Aluminium  &0.55mm Stainless
Job scoped by Daniel Wise",1,6731.0,6731.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
PFS Engineering Ltd,,,,,,,,,,1005,,31/05/2023,30/06/2023,8188.0,,8 x Galvanised Ducting Transition Cones,1,389.0,389.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Week 08/05 - 14/05,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel to Lawter (NZ) Ltd,1,147.5,147.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel and Accomodation,1,212.5,212.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel and Accomodation,1,212.5,212.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel and Accomodation,1,212.5,212.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel to Hamilton,1,147.5,147.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Labour,1,6581.25,6581.25,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Week 15/05 - 21/05,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Labour,1,324.0,324.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Week 22/05 - 28/05,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel to Lawter (NZ) Ltd,1,147.5,147.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel and Accomodation,1,212.5,212.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel to Hamilton,1,147.5,147.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Labour,1,3564.0,3564.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Week 29/05 - 31/05,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel to Lawter (NZ) Ltd,1,147.5,147.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Travel and Accomodation,1,212.5,212.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Labour,1,1620.0,1620.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1006,,31/05/2023,30/06/2023,16214.14,,Vertical Cladding for Tank 15,1,210.0,210.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Smart Membrane Solutions Ltd,,,,,,,,,,1011,,08/06/2023,20/07/2023,31875.7,,Fonterra Lichfield Kitchen HW Silo Pad Insulation and Cladding,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Smart Membrane Solutions Ltd,,,,,,,,,,1011,,08/06/2023,20/07/2023,31875.7,,Brine Tanks CHW ,1,15720.8,15720.8,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Smart Membrane Solutions Ltd,,,,,,,,,,1011,,08/06/2023,20/07/2023,31875.7,,Heat Exchanger Pipework,1,3930.2,3930.2,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Smart Membrane Solutions Ltd,,,,,,,,,,1011,,08/06/2023,20/07/2023,31875.7,,Caustic CIP Kitchen Silo Pad ,1,3205.0,3205.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Smart Membrane Solutions Ltd,,,,,,,,,,1011,,08/06/2023,20/07/2023,31875.7,, M.T. CIP Kitchen HW Silo Pad,1,4862.0,4862.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
DKJ Welding Services,,,,,,,,,,1014,,09/06/2023,20/07/2023,279.45,,Fit inspection points bypass cladding to 63.5 pipework,1,243.0,243.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Industrial Welding,,,,,,,,,,1019,,13/06/2023,30/07/2023,2968.15,,Insulate and clad piping at Pukete WWTP Hot water Loop 150NB pipe size,1,2581.0,2581.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Dairy Goat Co-operative (NZ) Ltd,,,,,,,,,,1020,,13/06/2023,20/07/2023,11456.3,,Insulate and Re-Clad D2 Wet area & condensate lines,1,9962.0,9962.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Waitoa Natural Proteins Limited,,,,,,,,,,1022,,22/06/2023,20/07/2023,15610.68,,Insulate and Clad Boiler Flue at Waitoa,1,13574.5,13574.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Waitoa Natural Proteins Limited,,,,,,,,,,1022,,22/06/2023,20/07/2023,15610.68,,Insulate with 50mm Foil Faced Rockwool,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Waitoa Natural Proteins Limited,,,,,,,,,,1022,,22/06/2023,20/07/2023,15610.68,,Clad with 0.9mm 304 Stainless ,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Dairy Goat Co-operative (NZ) Ltd,,,,,,,,,,1023,,22/06/2023,20/07/2023,1025.8,,Extra repair work in D2,1,892.0,892.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
cash sales,,,,,,,,,,1026,,23/06/2023,23/06/2023,197.23,,Fabricate 4 x lengths of straights,1,171.5,171.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
cash sales,,,,,,,,,,1026,,23/06/2023,23/06/2023,197.23,,2 elbows and 1 equal tee to suit 20N x 25 equivalent based on sample supplied,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Contact Energy Limited,,,,,,,,,,1027,,23/06/2023,20/07/2023,8933.78,,Contact Energy Te Rapa Decommissioning project ,1,7768.5,7768.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Fonterra Waitoa,,,,,,,,,,1029,,26/06/2023,20/07/2023,1104.0,,"Fonterra Waitoa D3 Level 6 Dry side.
Level 6 MAH condensate and trunking to Level 5 through floor",1,960.0,960.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
NZ Food Innovation (Waikato) Ltd,,,,,,,,,,1031,,28/06/2023,20/07/2023,2701.35,,"Melody Dairies - D1, 50.8 CHW lines above Dryer Bed Insulation and Cladding Replacement",1,2349.0,2349.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
NZ Food Innovation (Waikato) Ltd,,,,,,,,,,1031,,28/06/2023,20/07/2023,2701.35,,Remove and dispose existing cladding and insulation,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
NZ Food Innovation (Waikato) Ltd,,,,,,,,,,1031,,28/06/2023,20/07/2023,2701.35,,"Replace with the following materials:
Insulation 20mm Kooltherm pre-formed pipe section
Cladding 0.55mm 304 2B Stainless Steel",1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Week 12/06 - 16/06,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel to Lawter (NZ) ltd,1,142.5,142.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel and Accommodation,1,266.25,266.25,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel and Accommodation,1,266.25,266.25,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel and Accommodation,1,266.25,266.25,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel and Accommodation,1,266.25,266.25,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel to Hamilton,1,142.5,142.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Labour,1,7128.0,7128.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Week 08/06 - 09/06,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel to Lawter (NZ) Ltd,1,142.5,142.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel and Accommodation,1,266.25,266.25,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel to Hamilton,1,142.5,142.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Labour,1,3159.0,3159.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Week 01/06 - 02/06,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel to Lawter (NZ) Ltd,1,142.5,142.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel and Accommodation,1,266.25,266.25,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel to Hamilton,1,142.5,142.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Labour,1,2794.5,2794.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Week 29/06 - 30/06,1,0.0,0.0,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel to Lawter (NZ) Ltd,1,142.5,142.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel and Accommodation,1,266.25,266.25,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
Lawter (NZ) Ltd,,,,,,,,,,1032,,30/06/2023,20/07/2023,21944.59,,Travel to Hamilton,1,142.5,142.5,,200,BAS Excluded,0.0,,,,,,,Tax Exclusive,Draft
