Type,Invoice Date,Invoice No,Due Date,Customer,Source Code,Global Tax calculation,Product/Service,Product/Service Quantity,Product/Service Unit Price,Product/Service Tax Rate,Product/Service Tax Amount,Product/Service Class,Currency Code,Exchange Rate,Amount,Total Invoice Amount,Status
Invoice,2024-11-06T00:00:00,JTW101155,,Minaret College,,TaxInclusive,,16.0,173.0,GST,0,,,,2768.0,3425.4,Closed
Invoice,2024-11-06T00:00:00,JTW101155,,Minaret College,,TaxInclusive,,2.0,173.0,GST,0,,,,346.0,3425.4,Closed
Invoice,2024-11-07T00:00:00,JTW101160,,Cardinia Shire Council,,TaxInclusive,,4.0,80.0,GST,0,,,,320.0,704.0,Closed
Invoice,2024-11-07T00:00:00,JTW101160,,Cardinia Shire Council,,TaxInclusive,,4.0,80.0,GST,0,,,,320.0,704.0,Closed
Invoice,2024-11-07T00:00:00,JTW101161,,Cardinia Shire Council,,TaxInclusive,SALTO ESCUTHEON BATTERY ,1.0,212.5,GST,0,,,,212.5,233.75,Closed
Invoice,2024-11-07T00:00:00,JTW101162,,Cardinia Shire Council,,TaxInclusive,CARD - RCUT BI-LOCK,30.0,29.5,GST,0,,,,885.0,973.5,Closed
Invoice,2024-11-07T00:00:00,JTW101163,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,1091.39,Closed
Invoice,2024-11-07T00:00:00,JTW101163,,Cardinia Shire Council,,TaxInclusive,,1.0,792.17,GST,0,,,,792.17,1091.39,Closed
Invoice,2024-11-07T00:00:00,JTW101163,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,1091.39,Closed
Invoice,2024-11-07T00:00:00,JTW101164,,Mentone Grammar,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,1661.0,Closed
Invoice,2024-11-07T00:00:00,JTW101164,,Mentone Grammar,,TaxInclusive,"HIKVISION, 6MP HD-IP Outdoor T",2.0,230.0,GST,0,,,,460.0,1661.0,Closed
Invoice,2024-11-07T00:00:00,JTW101164,,Mentone Grammar,,TaxInclusive,INSTALLATION ,1.0,650.0,GST,0,,,,650.0,1661.0,Closed
Invoice,2024-11-07T00:00:00,JTW101164,,Mentone Grammar,,TaxInclusive,CONNECTORS/CABLE/CONDUIT,1.0,300.0,GST,0,,,,300.0,1661.0,Closed
Invoice,2024-11-07T00:00:00,JTW101165,,Cardinia Shire Council,,TaxInclusive,,4.0,90.0,GST,0,,,,360.0,396.0,Closed
Invoice,2024-11-11T00:00:00,JTW101169,,Mater Christi College,,TaxInclusive,1 HOURS LABOUR,4.0,120.0,GST,0,,,,480.0,528.0,Closed
Invoice,2024-11-11T00:00:00,JTW101171,,Cardinia Shire Council,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-11T00:00:00,JTW101171,,Cardinia Shire Council,,TaxInclusive,1 HOURS LABOUR,1.0,100.0,GST,0,,,,100.0,220.0,Closed
Invoice,2024-11-12T00:00:00,JTW101173,,Minaret College,,TaxInclusive,STANDARD ONSITE CHARGE,1.0,100.0,GST,0,,,,100.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,,Minaret College,,TaxInclusive,,1.0,330.0,GST,0,,,,330.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,,Minaret College,,TaxInclusive,,2.0,55.0,GST,0,,,,110.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,,Minaret College,,TaxInclusive,INSTALLATION ,1.0,2500.0,GST,0,,,,2500.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,,Minaret College,,TaxInclusive,DESCRIPTION,1.0,88.0,GST,0,,,,88.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,,Minaret College,,TaxInclusive,CONNECTORS/CABLE/CONDUIT,1.0,450.0,GST,0,,,,450.0,4100.8,Closed
Invoice,2024-11-12T00:00:00,JTW101173,,Minaret College,,TaxInclusive,DAHUA 8-Port ePoE Switch,1.0,150.0,GST,0,,,,150.0,4100.8,Closed
