Type,Invoice Date,Invoice No,Due Date,Customer,Global Tax calculation,Product/Service,Product/Service Quantity,Product/Service Unit Price,Product/Service Tax Rate,Product/Service Tax Amount,Product/Service Class,Currency Code,Exchange Rate,Amount,Tax Exclusive Amount,Total Invoice Amount,Status,Balance Due
Invoice,2023-11-02T00:00:00,JTW100008,2023-11-09T00:00:00,Facility Management Essentials,TaxInclusive,SPACEOPT00161,8.0,9.9,GST,0.0,,,,79.2,79.2,79.2,Closed,
Invoice,2023-11-02T00:00:00,JTW100010,2023-11-09T00:00:00,St Margarets Berwick ,TaxInclusive,PFD04KB10,15.0,111.0,GST,0.0,,,,1665.0,1665.0,1665.0,Closed,
Invoice,2023-11-07T00:00:00,JTW100012,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - POLE CAM,4.0,80.0,GST,0.0,,,,320.0,320.0,352.0,Closed,
Invoice,2023-11-07T00:00:00,JTW100013,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - POLE CAM,4.0,80.0,GST,0.0,,,,320.0,320.0,704.0,Closed,
Invoice,2023-11-07T00:00:00,JTW100013,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - POLE CAM,4.0,80.0,GST,0.0,,,,320.0,320.0,704.0,Closed,
Invoice,2023-11-07T00:00:00,JTW100014,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CONS,1.0,90.0,GST,0.0,,,,90.0,90.0,1168.2,Closed,
Invoice,2023-11-07T00:00:00,JTW100014,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CLAB1,1.0,90.0,GST,0.0,,,,90.0,90.0,1168.2,Closed,
Invoice,2023-11-07T00:00:00,JTW100014,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - SWBL83/45QAKSC,6.0,147.0,GST,0.0,,,,882.0,882.0,1168.2,Closed,
Invoice,2023-11-07T00:00:00,JTW100015,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - RCUT 5202,4.0,21.5,GST,0.0,,,,86.0,86.0,94.6,Closed,
Invoice,2023-11-07T00:00:00,JTW100016,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - RCUT 5202,4.0,21.5,GST,0.0,,,,86.0,86.0,903.1,Closed,
Invoice,2023-11-07T00:00:00,JTW100016,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - SWBL83/45QAKSC,5.0,147.0,GST,0.0,,,,735.0,735.0,903.1,Closed,
Invoice,2023-11-07T00:00:00,JTW100017,2023-11-14T00:00:00,Cardinia Shire Council,TaxInclusive,CARD - RCUT 5202,15.0,21.5,GST,0.0,,,,322.5,322.5,354.75,Closed,
