Type,Invoice Date,Invoice No,Due Date,Customer,Global Tax calculation,Product/Service,Product/Service Quantity,Product/Service Unit Price,Product/Service Tax Rate,Product/Service Tax Amount,Product/Service Class,Currency Code,Exchange Rate,Amount,Tax Exclusive Amount,Total Invoice Amount,Status
Invoice,2024-11-06T00:00:00,JTW101155,2024-11-13T00:00:00,Minaret College,TaxInclusive,DSS8PRV,16.0,173.0,GST,0,,,,2768.0,2768.0,3425.4,Closed
Invoice,2024-11-06T00:00:00,JTW101155,2024-11-13T00:00:00,Minaret College,TaxInclusive,DSS8PRV,2.0,173.0,GST,0,,,,346.0,346.0,3425.4,Closed
Invoice,2024-11-13T00:00:00,JTW101180,2024-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-13T00:00:00,JTW101180,2024-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,220.0,Closed
Invoice,2024-11-13T00:00:00,JTW101181,2024-11-20T00:00:00,Catherine McAuley College,TaxInclusive,PFM01KB10,2.0,110.5,GST,0,,,,221.0,221.0,259.6,Closed
Invoice,2024-11-13T00:00:00,JTW101181,2024-11-20T00:00:00,Catherine McAuley College,TaxInclusive,POST,1.0,15.0,GST,0,,,,15.0,15.0,259.6,Closed
Invoice,2024-11-15T00:00:00,JTW101183,2024-11-22T00:00:00,Mater Christi College,TaxInclusive,ONS1,1.0,80.0,GST,0,,,,80.0,80.0,88.0,Closed
Invoice,2024-11-15T00:00:00,JTW101184,2024-11-22T00:00:00,Facility Management Essentials,TaxInclusive,SPACEOPT00161,8.0,9.9,GST,0,,,,79.2,79.2,79.2,Closed
Invoice,2024-11-13T00:00:00,JTW101179,2024-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,847.55,Closed
Invoice,2024-11-13T00:00:00,JTW101179,2024-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,WRDM0M4B,1.0,570.5,GST,0,,,,570.5,570.5,847.55,Closed
Invoice,2024-11-13T00:00:00,JTW101179,2024-11-20T00:00:00,Cardinia Shire Council,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,847.55,Closed
Invoice,2024-11-12T00:00:00,JTW101177,2024-11-19T00:00:00,Aquinas College,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,279.4,Closed
Invoice,2024-11-12T00:00:00,JTW101177,2024-11-19T00:00:00,Aquinas College,TaxInclusive,MINI60MM,1.0,54.0,GST,0,,,,54.0,54.0,279.4,Closed
Invoice,2024-11-12T00:00:00,JTW101177,2024-11-19T00:00:00,Aquinas College,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,279.4,Closed
Invoice,2024-11-12T00:00:00,JTW101176,2024-11-19T00:00:00,Minaret College,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,259.6,Closed
Invoice,2024-11-12T00:00:00,JTW101176,2024-11-19T00:00:00,Minaret College,TaxInclusive,LAB1,1.0,100.0,GST,0,,,,100.0,100.0,259.6,Closed
Invoice,2024-11-12T00:00:00,JTW101176,2024-11-19T00:00:00,Minaret College,TaxInclusive,CSD-1200,1.0,36.0,GST,0,,,,36.0,36.0,259.6,Closed
Invoice,2024-11-12T00:00:00,JTW101175,2024-11-19T00:00:00,McClelland College,TaxInclusive,ONS1,1.0,100.0,GST,0,,,,100.0,100.0,2683.16,Closed
Invoice,2024-11-12T00:00:00,JTW101175,2024-11-19T00:00:00,McClelland College,TaxInclusive,ESCINSTALL ,2.0,70.0,GST,0,,,,140.0,140.0,2683.16,Closed
