ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,InvoiceNumber,Reference,InvoiceDate,DueDate,Total,InventoryItemCode,Description,Quantity,UnitAmount,Discount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme
Cardinia Shire Council,,,,,,,,,,JTW100011,,2023-11-13T00:00:00,,5582.5,CARD-PFD04KB10JTWLOGO,"SALTO DESFire 4K FOB, BLUE FRAME WHITE CENTRE PKT = 10 JTWLOGO",50.0,101.5,0,,GST,0.0,Job,,,,,
Mater Christi College,,,,,,,,,,JTW100032,,2023-11-13T00:00:00,,1069.2,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0.0,Job,,,,,
Mater Christi College,,,,,,,,,,JTW100032,,2023-11-13T00:00:00,,1069.2,LAB1,1 HOURS LABOUR,1.5,100.0,0,,GST,0.0,Job,,,,,
Mater Christi College,,,,,,,,,,JTW100032,,2023-11-13T00:00:00,,1069.2,CSD-1200,12V 7.0Ah Sealed Lead Acid Battery,19.0,38.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100033,,2023-11-13T00:00:00,,10968.83,CARDSPACE-OPT-0036,0036 | SALTO Wireless BLUEnet Lockers  The SALTO Wireless BLUEnet feature permits ProAccess SPACE Software to enable the lockers to be connected to the BLUEnet wireless network. Feature only available individually and is not included in any package Price ,303.0,19.5,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100033,,2023-11-13T00:00:00,,10968.83,CARDGATEWAY3AUS,BLUENET GATEWAY ,3.0,370.14,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100033,,2023-11-13T00:00:00,,10968.83,CARDNODE3,BLUENET NODE 3 ,15.0,114.660667,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100033,,2023-11-13T00:00:00,,10968.83,INSTALL,INSTALLATION ,1.0,1980.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100033,,2023-11-13T00:00:00,,10968.83,FITTINGS,CONNECTORS/CABLE/CONDUIT,1.0,250.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100035,,2023-11-13T00:00:00,,240.0,SALTO-MAINT,SALTO ESCUTHEON BATTERY CHANGE AND MAINTENACE CHECK,1.0,240.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100036,,2023-11-13T00:00:00,,144.0,SALTO-MAINT,SALTO ESCUTHEON BATTERY CHANGE AND MAINTENACE CHECK,1.0,144.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100037,,2023-11-13T00:00:00,,492.0,SALTO-MAINT,SALTO ESCUTHEON BATTERY CHANGE AND MAINTENACE CHECK,1.0,492.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100038,,2023-11-13T00:00:00,,198.0,CONS,CARDINIA ONSITE CHARGE,1.0,99.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100038,,2023-11-13T00:00:00,,198.0,CLAB1,1 HOURS LABOUR,1.0,99.0,0,,GST,0.0,Job,,,,,
Body Corporate Strata Group  ,,,,,,,,,,JTW100040,,2023-11-13T00:00:00,,220.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0.0,Job,,,,,
Body Corporate Strata Group  ,,,,,,,,,,JTW100040,,2023-11-13T00:00:00,,220.0,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0.0,Job,,,,,
Minaret College,,,,,,,,,,JTW100031,,2023-11-12T00:00:00,,6974.0,ONS1,STANDARD ONSITE CHARGE,3.0,100.0,0,,GST,0.0,Job,,,,,
Minaret College,,,,,,,,,,JTW100031,,2023-11-12T00:00:00,,6974.0,SALTO-MAINT-NEO,SALTO NEO BATTERY CHANGE AND MAINTENACE,74.0,80.0,0,,GST,0.0,Job,,,,,
Minaret College,,,,,,,,,,JTW100031,,2023-11-12T00:00:00,,6974.0,SALTO-MAINT,SALTO ESCUTHEON BATTERY CHANGE AND MAINTENACE CHECK,6.0,20.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100029,,2023-11-09T00:00:00,,187.0,CONS,CARDINIA ONSITE CHARGE,1.0,90.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100029,,2023-11-09T00:00:00,,187.0,SLAB01, 1 HOUR LABOUR ,1.0,80.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100028,,2023-11-13T00:00:00,,273.9,CONS,CARDINIA ONSITE CHARGE,1.0,90.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100028,,2023-11-13T00:00:00,,273.9,CLAB1,1 HOURS LABOUR,1.0,90.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100028,,2023-11-13T00:00:00,,273.9,PDX-DG75,Paradox Digigard High-Security Digital Motion Detector with Pet Immunity,1.0,69.0,0,,GST,0.0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW100026,,2023-11-09T00:00:00,,313.5,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0.0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW100026,,2023-11-09T00:00:00,,313.5,LAB1,1 HOURS LABOUR,1.0,100.0,0,,GST,0.0,Job,,,,,
Mentone Grammar,,,,,,,,,,JTW100026,,2023-11-09T00:00:00,,313.5,HF-2012J,"Honeywell Fire Smoke Detector, 12/24VDC, 4 Wire",1.0,85.0,0,,GST,0.0,Job,,,,,
Alarm Assets Group,,,,,,,,,,JTW100020,,2023-11-07T00:00:00,,292.6,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0.0,Job,,,,,
Alarm Assets Group,,,,,,,,,,JTW100020,,2023-11-07T00:00:00,,292.6,LAB1,1 HOURS LABOUR,1.5,100.0,0,,GST,0.0,Job,,,,,
Alarm Assets Group,,,,,,,,,,JTW100020,,2023-11-07T00:00:00,,292.6,CSD-2001,"Big Gap Surface Mount Reedswitch, White",1.0,16.0,0,,GST,0.0,Job,,,,,
Kilvington Grammar School,,,,,,,,,,JTW100019,,2023-11-07T00:00:00,,440.0,ONS1,STANDARD ONSITE CHARGE,1.0,100.0,0,,GST,0.0,Job,,,,,
Kilvington Grammar School,,,,,,,,,,JTW100019,,2023-11-07T00:00:00,,440.0,LAB1,1 HOURS LABOUR,3.0,100.0,0,,GST,0.0,Job,,,,,
Cardinia Shire Council,,,,,,,,,,JTW100018,,2023-11-07T00:00:00,,808.5,CARD - SWBL83/45QAKSC,CARD - SWBL83/45QAKSC PADLOCK ,5.0,147.0,0,,GST,0.0,Job,,,,,
